Sentence,Sentiment
irish housebuilder cairn home plan london listing,positive
company not disclose price acquisition,neutral
comparable operating profit totaled eur mn eur mn corresponding period representing net sale,negative
barclays share price subdued bank face fresh forex probe,negative
arcelormittal chief executive officer lakshmi mittal already cut output furnace,neutral
government instead proposed exchange state stake lmt teliasonera stake lattelecom,neutral
lulu outlook q lost revenue range million million not good,negative
finnish stockmann group mail order unit hobby hall launched trial marketing campaign russia,neutral
estimate operating profit improve third quarter,positive
uponor maintains full year guidance,neutral
operating profit turnover six month period increased respectively eur eur compared corresponding period,positive
company use asset strengthening balance sheet financial position,positive
itv share price group mull takeover canada entertainment one,positive
vxx starting creep spy sits near hod,positive
according karhinen op pohjola exciting enterprise cooperation bring huge opportunity customer company,positive
guidance set basis point mid swap report said,neutral
far mr galvan able avoid laying worker,positive
talvivaara listed london stock exchange main market nasdaq omx helsinki included ftse index,neutral
jd hour market anyone care explain,negative
total eur provided secured senior three year debt syndicate involving pohjola bank hel pohs finnish arm nordea bank ab sto nda sampo bank hel samas,neutral
finnish real kyro mill starting negotiation cut staff,negative
aapl dip bought real quick higher low fo sho,positive
aapl price momentum weakening going close,negative
orion pharma operating profit increased,positive
dismissed staff member take matter court unless settled outside,neutral
contract allotted per lowest price criterion,neutral
adp news jan finnish industrial environmental measurement equipment maker vaisala oyj omx vaias said yesterday develop operational reference radiosonde climate change observation,neutral
finland finnish pharmaceutical company orion corporation omx helsinki ornav said wednesday january concluded personnel negotiation finland reduce number personnel,negative
transaction tikkurila powder coating related operation,neutral
sale tiimari business went eur million gallerix store saw growth eur million,negative
company presently examining whether project would financially feasible,neutral
ftse drop pct glencore metal price fear,negative
zao yit moskovia build housing moscow surrounding city,neutral
financial detail transaction not disclosed,neutral
small firm suffering moment likely money trouble added,negative
end day scan stochastic overbought jdst free blrx lpg afsi dvax hdge aht alr asmb www dailystockplays com,negative
eln longs congrats another hod,positive
survey conducted taloustutkimus sampo life show company badly prepared losing key staff member,neutral
workforce reduced also amsterdam office netherlands,negative
company said fall turnover planned,negative
last year million passenger flew airline percent,negative
operating loss totalled eur mn compared profit eur mn third quarter,negative
building home improvement trade sale decreased eur mn,negative
finnish raisio diagnostics launching new dna based quick test ensure safety food,positive
operating profit fell eur mn eur mn including vessel sale gain eur mn,negative
production plant based neste oil proprietary technology use flexible input vegetable oil animal fat,neutral
implementing software finnish army aim unify improve operation application area qpr software stated,positive
incap corporation stock exchange announcement april p invitation news conference incap interim report q incap publish interim report january march wednesday may,neutral
value order eur mn,neutral
reed elsevier share price slide underwhelming full year result,negative
csx another strong rail today breaking intraday resistance http co eafbvuqgp,positive
also said third quarter diluted eps came eur compared eur quarter year ago,positive
outsourced scan capture solution transfer paper invoice electronic format basware business transaction service allows customer receive send invoice electronic format,neutral
company annual loss amounted eek mn compared profit eek mn,negative
kauko telko ltd press release telko group kauko telko expanding strategic partnership bp industrial lubricant service bp il acquiring total ownership bp swedish retail company molub alloy ab,positive
eps quarter came eur eur year ago ahead forecast eur,positive
johnson matthey share price slump company post full year result,negative
pcln back back intraday reversal look short moving,negative
vrtx early technical buy signal confirmation need fundam incentive http co quysrqfox,positive
operating loss pulp paper machinery unit eur mn september august compared profit eur mn year earlier,neutral
crh concrete bid holcim lafarge asset,positive
wayne greensmith fiskars brand uk senior brand manager said launched want give something back community,neutral
study expected start,neutral
fair value investment property totaled eur mn eur mn,positive
aapl taking short punishing reminder not spear strongest herd,positive
second quarter group net profit rose eur eur april june,positive
two site included later,neutral
repair maintenance business accounted net sale eur mn eur mn,positive
hope increase traffic volume opening freight one scandinavia,positive
pm omx helsinki pct omx helsinki pct lower mln eur turnover,negative
yara suomi ltd also provides nitrogen chemical technical nitrate various sector industry well product used environmental protection,neutral
contract includes heating plant equipment associated installation work,neutral
glencore chief blame rival overproduction share price fall,negative
bank forecast finland gdp grow,positive
helsinki thomson financial share closed little changed cargotec huhtamaki dropping sharply disappointing second quarter report,negative
addition kazakh delegation visit finland sitra investment fund honkarakenne ltd nokia headquarters study teliasonera ltd jsc activity,neutral
march goldman sachs estimate negative prospect norwegian mobile operation norway telenor asa osl tel sweden teliasonera ab sto tlsn short term,negative
investment investment activity communication relates available relevant person engaged relevant person,neutral
finnish larox signed contract talvivaara project delivery filter talvivaara nickel mine sotkamo finland,positive
rt robbielolz nflx close looking good bull hold position see close keep buying,positive
operating result showed loss eur mn year showed profit eur mn,negative
growth net sale first half compared first half,positive
mobile phone shipment jumped percent almost million unit finnish company global market share rose percent percent,positive
finnish construction group lemminkainen oyj hel lem said today contract provide technical service nevsky centre shopping mall opened november st petersburg russia,positive
group turnover eur million operating profit eur million,neutral
tectia corporation hel tecv provider real time security solution today announced appointed lanlan provider service uk distribute data security manage file transfer software,positive
ground notification tiimari plc issued capital convertible loan allocation decision board,neutral
operating loss totalled eur mn compared loss eur mn corresponding period,neutral
excluding non recurring item pre tax profit surged eurm,positive
active shipping essential finland,neutral
diluted earnings per share eps declined eur eur,negative
according company decision issue made summer earliest summer latest,neutral
long gpro brealout trade,positive
legal general share price finance chief step,negative
qcom indicator rsi stand upward movement expected http co yfajcusqa,positive
sq sq ft store copenhagen premier shopping district inaugurated today strengthening company presence nordic capital,positive
vacon recently announced plan build north american headquarters business park chambersburg,neutral
westpac banking corp issue benchmark year frn deal euro,neutral
however market share shrank per cent per cent year earlier,negative
addition russia seek additional growth ukraine,positive
first half bank operating profit fell eur mn eur mn net interest income increased eur mn eur mn first half,neutral
currently company foresees pre tax profit remain level reached eur usd compared previous projection slightly better pre tax profit,negative
raute reported loss per share eur first half eps eur corresponding period,negative
stake high astrazeneca heart drug facing tough competition,negative
finnish investor scanfil oyj hel scfv said last friday bought million share norwegian contract electronics manufacturer kitron asa osl kit nok million usd eur,neutral
pm omx helsinki pct lower omx helsinki pct volume mln eur,negative
nokia continue invest future development qt digia responsible commercial licensing service business,neutral
operating loss totalled eur mn compared profit eur mn third quarter,neutral
customer forwarded site unknown logged first number,neutral
omx nordic omxn index comprising traded nordic stock nasdaq omx exchange closed point thursday,neutral
stock rose third day tuesday bringing three day rise gbx,positive
earnings per share eps amounted loss eur,negative
financial detail deployment disclosed,neutral
megafon subscriber base increased million user december market share number customer amounted late late according teliasonera estimate,positive
based strong customer interest feedback using rpm mobile phone manufacturer operator enterprise developer forum significantly increase product service quality user experience cost efficiency tulonen continues,positive
publishing sweden operating loss eur mn q compared profit eur mn year ago,negative
delighted welcome elisa board director said garry mcguire ceo rmg network,positive
costco premier retail dividend play http co facnhtt cost,positive
sampo bank market share lending first quarter,negative
master mayawas jointly developed nokia siemens network ufa fremantlemedia actively advertised maxi end may,neutral
since association data not cover sale figure small local brewery sale imported beer product actual market share member smaller given report,negative
intercontinental hotel group share price climb bn special dividend,positive
spy le people calling bearish heading exit already maybe crash disturbing,negative
amrn got sell signal still force target,negative
according finnish metso mineral value company order gone eur bn month,positive
final price specified may acquiring company said,neutral
company also said poland profitability program launched oborniki steel frame sandwich panel plant,positive
stora enso r share rose pct eur upm kymmene also dragged higher rising pct eur real b added pct eur,positive
operating profit excluding non recurring item totalled eur mn eur mn,negative
southfield mich central corporate credit union distribute patronage dividend member waiving service fee incurred month july november tune estimated million,positive
due rapid decrease net sale personnel reduction carried wider scale initially expected,negative
russia ready participate open tender lattelecom privatization,neutral
furthermore sale new passenger car light commercial vehicle country declined year year last month,neutral
top u commerce department published worse expected construction spending figure november,neutral
tekla group net sale approximately million euro operating result million euro,neutral
revenue july september grew percent euro million year earlier company said thursday,positive
finnish electronics contract manufacturer scanfil net sale eur mn first quarter eur mn year,neutral
basware invoice processing basware contract matching basware order matching basware kpi reporting tool part basware enterprise purchase pay product suite,neutral
energy efficient data center built combining effective energy solution state art technology,positive
omx helsinki ended pct lower omx helsinki pct bln eur turnover,neutral
fb hitting everything sight short twtr,negative
combined net sale million ebitda million,neutral
elcoteq electronics manufacturing service em business segment serf customer globally engineering manufacturing fulfillment service,neutral
amgn ucb announce positive top line result ph study evaluating romosozumab men http co hboudrb via yahoofinance,positive
acando ab acanb s fell percent kronor lowest close since dec,negative
merged lse deutsche bã¶rse would led germany kengeter,positive
choose giant countdown red head rainbow trout giant shad rap perch color,neutral
aspo serf demanding business business customer,neutral
ipad application join iphone app part monster range mobile application job hunting,neutral
today bought mu yhoo vale nbl twtr axp znga http co vttzpis,positive
ebay e bay bay working couple daily dojis continue downside http co lguybxeze,negative
new facility known technopolis pulkovo introduce russian market entirely new concept creating operating growing commercially funded science technology park support growth knowledge intensive company,neutral
finnish shipping company finnlines grimaldi group report net sale decreased eur mn january june eur mn corresponding period,negative
rimm spx nya compq djia going,negative
eur usd finding support near level ero uup udn fxe http stks co beu,positive
update bhp billiton credit rating fragile fy agency warn,negative
stora enso net loss eur million compared eur million previous year,negative
march finnish electronics contract manufacturer scanfil oyj hel scfv said today plan merge wholly owned scanfil em group ojala yhtyma oy hit snag shareholder domestic rival rejected deal,negative
iso certification demonstrates moving forward quality commitment customer,positive
viking line canceled service,neutral
sale outokumpu share technology unit reduced percent,neutral
miner meltdown bhp rio tinto sink commodity rout,negative
fiskars brand report net sale eur mn eur mn,positive
teva fda approves generic version astrazeneca heartburn drug,positive
endp exit reversal x k share long not getting follow either side price action,positive
operates three distinct brand united supermarket market street united supermercado,neutral
much better process using virgin paper requires le transportation wood pulp place like finland canada,positive
stora enso target cut eur eur holmen target sek sek,negative
aviva g suspend property fund investor panic,negative
fiskars also engaged global supply marine energy equipment solution service associated company wartsila corporation,neutral
slw weekly call x volume worth chance jmho http stks co qfg,positive
nordic exchange omx offer access approximately percent nordic baltic security market,neutral
earnings per share eps amounted eur,neutral
espoon kaupunki awarded contract personal care product,positive
final outcome right offering reported around october,neutral
finnish electronics contract manufacturer scanfil report net sale eur mn second quarter eur mn year earlier,negative
shire share price pressure bn baxalta deal,negative
finland technopolis planning bring first section technopark stream st petersburg end kari mikkonen vice president technopolis told reporter helsinki,neutral
total need staff cut corresponds man year,neutral
contrast company net loss third quarter contracted eur million eur million corresponding period year ago,positive
finnish vaahto group provides paper making technology process machinery starting negotiation concerning temporary lay offs employee company plant hollola tampere finland,neutral
googl get upgrade price target,positive
talktalk hire bae system investigate cyber attack,negative
energy still failing close continues stand weak xle,negative
finnish glass technology company glaston oyj abp net profit decreased mln euro mln first nine month mln euro mln period,negative
earnings per share eps first half amounted eur eur year ago,negative
according finnish l ñnnen tehtaat ceo matti karppinen l ñnnen tehtaat sold majority feed grain business quickly start look acquisition,neutral
operating profit fell eur mn eur mn,negative
earlier today geberit finnish rival uponor oyj cut full year sale growth forecast pct pct blaming tough condition germany u well currency factor,negative
operating profit decreased eur mn eur mn,negative
deal worth eur mn,neutral
bullish stock twitter dip yhoo gdx googl stz gold ew vz celg sbux scty http co iuzjelfwt,positive
bank tokyo mitsubishi ufj ltd acted agent loan,neutral
export good fell import,negative
